,case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
32443,EZYV6964,Europe,Master's,N,N,1773,2006,West,81611.89,Year,Y,Certified
32444,EZYV6965,Asia,Master's,Y,N,951,1997,Northeast,58322.09,Year,Y,Certified
32445,EZYV6966,Asia,High School,N,N,576,2009,Midwest,57231.03,Year,Y,Denied
32446,EZYV6967,Asia,Master's,Y,Y,1827,1993,South,62878.78,Year,Y,Certified
32447,EZYV6968,Asia,High School,Y,N,5605,1998,Northeast,81573.36,Year,Y,Denied
32448,EZYV6969,Asia,Master's,Y,N,3841,1823,West,32576.47,Year,N,Certified
32449,EZYV6970,Asia,Bachelor's,Y,N,358,1958,South,60190.73,Year,Y,Certified
32450,EZYV6971,Asia,Master's,Y,N,3573,1995,Northeast,122293.19,Year,Y,Certified
32451,EZYV6972,Asia,Master's,N,Y,1178,2007,West,106075.96,Year,Y,Certified
32452,EZYV6973,Asia,Bachelor's,N,N,2492,2006,West,86310.57,Year,Y,Denied
32453,EZYV6974,Asia,High School,Y,N,4213,1984,West,51551.22,Year,Y,Denied
32454,EZYV6975,Asia,Bachelor's,N,N,2319,2010,West,44321.76,Year,N,Denied
32455,EZYV6976,Asia,High School,N,Y,740,1900,Midwest,131322.09,Year,Y,Denied
32456,EZYV6977,Asia,Master's,Y,N,3437,2007,West,5163.67,Year,Y,Certified
32457,EZYV6978,Asia,Bachelor's,N,N,2246,1891,West,26851.36,Year,Y,Denied
32458,EZYV6979,Asia,Master's,Y,N,1801,2006,South,50132.38,Year,Y,Certified
32459,EZYV6980,Africa,Master's,Y,N,51254,1966,Northeast,100.01,Hour,Y,Certified
32460,EZYV6981,Asia,High School,Y,N,5450,2008,Northeast,19194.79,Year,Y,Denied
32461,EZYV6982,Asia,Bachelor's,Y,N,1471,1956,Midwest,4502.98,Year,Y,Certified
32462,EZYV6983,Asia,Doctorate,N,Y,2498,2003,Northeast,115047.07,Year,Y,Certified
32463,EZYV6984,South America,Master's,Y,N,2455,2001,Northeast,122239.88,Week,Y,Certified
32464,EZYV6985,Asia,Bachelor's,Y,N,457,2006,Northeast,61055.76,Year,Y,Certified
32465,EZYV6986,Europe,Doctorate,N,N,496,2000,West,111075.97,Year,Y,Certified
32466,EZYV6987,Asia,High School,Y,N,3535,1838,South,67475.63,Year,N,Denied
32467,EZYV6988,Europe,Bachelor's,Y,Y,89,1968,South,249339.52,Year,Y,Certified
32468,EZYV6989,Asia,Master's,N,N,42168,1994,Midwest,80150.78,Year,Y,Certified
32469,EZYV6990,Asia,Master's,N,N,2076,2005,Midwest,238893.91,Year,Y,Certified
32470,EZYV6991,Asia,Bachelor's,N,N,1498,2000,West,100240.42,Year,N,Denied
32471,EZYV6992,Asia,Master's,N,N,1336,1966,Midwest,150218.46,Year,N,Certified
32472,EZYV6993,Asia,Bachelor's,N,N,3347,2007,Northeast,104484.75,Year,Y,Certified
32473,EZYV6994,Asia,Master's,Y,N,649,2006,Northeast,4144.82,Year,Y,Certified
32474,EZYV6995,Europe,Master's,N,N,1122,1902,West,127429.32,Year,Y,Certified
32475,EZYV6996,Asia,Master's,Y,Y,315,2011,Northeast,54293.29,Year,Y,Certified
32476,EZYV6997,Asia,Bachelor's,Y,N,1560,1994,West,113548.21,Year,Y,Certified
32477,EZYV6998,Europe,Bachelor's,Y,N,2050,1926,South,33558.39,Year,Y,Certified
32478,EZYV6999,Europe,Master's,Y,N,3651,2008,Midwest,121336.88,Year,Y,Certified
32479,EZYV7000,South America,Bachelor's,Y,N,1198,2005,South,386.1515,Hour,Y,Denied
32480,EZYV7001,North America,Bachelor's,N,N,109,1969,South,43866.4,Year,Y,Denied
32481,EZYV7002,North America,Doctorate,N,N,1814,1967,South,149824.68,Year,Y,Certified
32482,EZYV7003,North America,Master's,N,N,4207,2000,West,81046.07,Year,Y,Denied
32483,EZYV7004,Asia,Master's,Y,N,4279,2009,Midwest,113687.61,Year,Y,Certified
32484,EZYV7005,Asia,Bachelor's,Y,Y,1257,2005,Midwest,114008.13,Year,Y,Denied
32485,EZYV7006,Asia,Master's,N,Y,3253,1996,South,147042.75,Year,Y,Certified
32486,EZYV7007,North America,Bachelor's,Y,N,22417,2001,South,499.2207,Hour,Y,Denied
32487,EZYV7008,North America,Bachelor's,N,Y,3082,1985,Northeast,30.6131,Hour,Y,Denied
32488,EZYV7009,Asia,Bachelor's,N,N,2390,2011,South,60142.3,Year,N,Denied
32489,EZYV7010,North America,Bachelor's,Y,N,4428,2010,West,51142.14,Year,Y,Certified
32490,EZYV7011,Asia,Bachelor's,Y,N,95250,1912,South,22804.77,Year,Y,Certified
32491,EZYV7012,North America,Master's,N,N,3884,2007,Northeast,75313.77,Year,N,Denied
32492,EZYV7013,South America,High School,N,N,2255,1879,Northeast,807.5226,Hour,Y,Certified
32493,EZYV7014,Europe,Master's,N,N,56385,2005,Northeast,79032.59,Year,Y,Certified
32494,EZYV7015,Asia,Bachelor's,N,N,1364,2007,Northeast,12567.85,Year,Y,Denied
32495,EZYV7016,North America,Master's,Y,N,2729,1976,West,234406.36,Week,Y,Certified
32496,EZYV7017,Asia,Master's,Y,N,6440,1997,Midwest,133816.76,Year,N,Certified
32497,EZYV7018,Asia,Bachelor's,N,N,2864,2003,Northeast,11877.31,Year,Y,Denied
32498,EZYV7019,Asia,Master's,Y,N,3887,1994,West,29538.15,Year,Y,Certified
32499,EZYV7020,Asia,Master's,Y,N,582,1973,South,225.4865,Hour,Y,Certified
32500,EZYV7021,Asia,Master's,Y,N,3935,1847,Northeast,33650.12,Year,Y,Certified
32501,EZYV7022,South America,Bachelor's,Y,N,1913,1886,West,135983.58,Year,Y,Denied
32502,EZYV7023,Asia,Bachelor's,N,N,2430,1997,West,13148.4,Year,Y,Denied
32503,EZYV7024,Asia,Bachelor's,N,N,3140,1988,Northeast,21545.37,Year,Y,Denied
32504,EZYV7025,Asia,High School,N,N,656,1978,Northeast,40732.54,Year,Y,Denied
32505,EZYV7026,North America,Bachelor's,Y,Y,722,2010,West,74315.41,Year,Y,Denied
32506,EZYV7027,Asia,Master's,N,Y,1100,1994,South,121474.97,Year,Y,Certified
32507,EZYV7028,Asia,High School,Y,N,3533,2007,Midwest,117783.78,Year,Y,Denied
32508,EZYV7029,Asia,Bachelor's,N,N,1716,2014,Northeast,100702.89,Year,Y,Denied
32509,EZYV7030,Asia,Bachelor's,Y,N,3084,1981,West,100173.93,Year,Y,Certified
32510,EZYV7031,Asia,Bachelor's,Y,N,96,1996,Northeast,158.4,Hour,Y,Denied
32511,EZYV7032,Asia,Doctorate,N,N,1276,2006,Northeast,85739.85,Year,Y,Certified
32512,EZYV7033,Asia,Master's,Y,N,166,2007,Midwest,82929.56,Year,Y,Certified
32513,EZYV7034,North America,Bachelor's,N,N,1839,1997,Northeast,756.9234,Hour,Y,Certified
32514,EZYV7035,Europe,High School,N,N,3787,2013,South,44688.37,Year,Y,Denied
32515,EZYV7036,Asia,Bachelor's,N,N,946,2001,West,43586.5,Year,Y,Denied
32516,EZYV7037,North America,Master's,Y,N,2807,1985,West,80035.69,Year,Y,Certified
32517,EZYV7038,Africa,Master's,Y,N,1962,2010,Northeast,57331.36,Year,Y,Certified
32518,EZYV7039,Asia,Bachelor's,Y,N,2211,1998,Northeast,150580.28,Year,N,Certified
32519,EZYV7040,Asia,Bachelor's,Y,N,2731,1993,West,16933.1,Year,Y,Certified
32520,EZYV7041,North America,Bachelor's,Y,N,2461,1998,Northeast,27241.18,Year,Y,Denied
32521,EZYV7042,Asia,Master's,N,N,1187,1993,Northeast,145.72,Hour,Y,Certified
32522,EZYV7043,Asia,Bachelor's,N,N,2081,1982,Northeast,12774.14,Year,Y,Denied
32523,EZYV7044,Europe,Master's,Y,Y,1590,1975,West,33722.94,Year,Y,Denied
32524,EZYV7045,Europe,Master's,Y,N,2648,1991,Northeast,75902.1,Year,Y,Certified
32525,EZYV7046,Asia,Bachelor's,N,Y,2700,2001,South,80383.55,Year,Y,Denied
32526,EZYV7047,Europe,Bachelor's,Y,N,2832,1947,South,18965.12,Year,Y,Certified
32527,EZYV7048,Africa,Master's,N,N,3446,1999,Northeast,81614.25,Year,Y,Certified
32528,EZYV7049,Oceania,Master's,N,N,4207,2000,West,58701.76,Year,N,Certified
32529,EZYV7050,South America,Master's,Y,N,2466,1993,West,155538.81,Year,N,Certified
32530,EZYV7051,Asia,Master's,N,N,2384,1924,South,115586.74,Year,N,Certified
32531,EZYV7052,Asia,Master's,N,N,422,2011,South,459.6712,Hour,Y,Certified
32532,EZYV7053,South America,Master's,Y,N,3937,1877,Northeast,92949.73,Year,Y,Certified
32533,EZYV7054,Asia,Bachelor's,N,N,3578,1986,Northeast,128404.6,Year,Y,Certified
32534,EZYV7055,Asia,Master's,Y,N,1756,1978,Island,54159.43,Year,N,Certified
32535,EZYV7056,Asia,Master's,Y,N,433,1818,Northeast,53668.65,Year,Y,Certified
32536,EZYV7057,Asia,Master's,N,N,459,1998,Island,154682.53,Year,N,Certified
32537,EZYV7058,North America,Master's,Y,N,2813,1983,Northeast,58657.36,Year,Y,Certified
32538,EZYV7059,Europe,Doctorate,Y,N,515,1962,West,150178.15,Year,Y,Certified
32539,EZYV7060,Europe,High School,N,Y,1715,1939,West,35949.45,Year,Y,Denied
32540,EZYV7061,Asia,Bachelor's,Y,N,2921,1981,South,81971.34,Year,Y,Certified
32541,EZYV7062,North America,Master's,N,N,3257,1987,South,37316.47,Year,N,Certified
32542,EZYV7063,Asia,Master's,Y,N,272,2008,Northeast,86795.53,Year,Y,Certified
32543,EZYV7064,South America,Master's,Y,N,3325,1934,Midwest,56716.29,Year,Y,Certified
32544,EZYV7065,Asia,Master's,Y,Y,1116,1997,South,115195.76,Year,Y,Certified
32545,EZYV7066,North America,Doctorate,N,N,2219,2000,Midwest,89517.71,Year,Y,Certified
32546,EZYV7067,Asia,High School,Y,N,412,1981,South,11.8704,Hour,Y,Denied
32547,EZYV7068,Asia,Master's,Y,N,1133,2005,Midwest,81977.3,Year,Y,Certified
32548,EZYV7069,Asia,Bachelor's,N,Y,182,2000,West,101205.16,Year,Y,Denied
32549,EZYV7070,Asia,Master's,Y,N,1041,1940,Midwest,95783.58,Year,Y,Certified
32550,EZYV7071,Asia,Bachelor's,Y,N,3645,2014,South,65132.85,Year,Y,Certified
32551,EZYV7072,Europe,Bachelor's,N,N,2131,2003,West,73724.8,Year,Y,Denied
32552,EZYV7073,Asia,High School,N,Y,519,2001,South,51284.84,Year,Y,Denied
32553,EZYV7074,South America,Master's,Y,N,1238,2013,Northeast,25999.0,Year,Y,Certified
32554,EZYV7075,Asia,Doctorate,Y,N,3335,2005,South,78187.18,Year,Y,Certified
32555,EZYV7076,Asia,Master's,Y,N,36928,1998,West,81888.81,Year,N,Certified
32556,EZYV7077,North America,Bachelor's,N,N,379,2007,South,718.6797,Hour,Y,Certified
32557,EZYV7078,Asia,Bachelor's,Y,N,2013,2005,West,21099.22,Year,Y,Denied
32558,EZYV7079,Asia,Bachelor's,Y,N,855,1934,South,177596.13,Year,N,Denied
32559,EZYV7080,South America,Master's,N,Y,1852,1838,West,12514.46,Year,Y,Certified
32560,EZYV7081,Europe,Master's,Y,N,131,2005,Northeast,13582.88,Year,Y,Certified
32561,EZYV7082,Asia,Doctorate,N,N,1024,2007,West,104718.09,Year,Y,Certified
32562,EZYV7083,Asia,Master's,N,N,586,2000,Midwest,32740.43,Year,Y,Certified
32563,EZYV7084,Asia,Bachelor's,Y,N,4614,2013,South,77321.22,Year,Y,Denied
32564,EZYV7085,Asia,Bachelor's,Y,N,3064,2006,Northeast,95.7322,Hour,Y,Certified
32565,EZYV7086,Asia,Bachelor's,N,N,60,1998,Island,199655.63,Year,Y,Certified
32566,EZYV7087,South America,Master's,N,N,4836,1841,South,147.22,Hour,Y,Denied
32567,EZYV7088,Asia,Bachelor's,N,N,3157,1984,Midwest,83268.51,Year,Y,Certified
32568,EZYV7089,Asia,Bachelor's,Y,N,2216,1993,Northeast,124435.47,Week,Y,Certified
32569,EZYV7090,Europe,Bachelor's,Y,N,743,2007,West,253915.96,Year,N,Denied
32570,EZYV7091,Asia,Master's,Y,N,928,2008,Midwest,112107.8,Year,Y,Certified
32571,EZYV7092,Asia,High School,Y,Y,2156,2014,South,4291.28,Year,Y,Denied
32572,EZYV7093,Europe,Bachelor's,Y,N,914,1986,West,45823.73,Year,Y,Certified
32573,EZYV7094,Europe,Master's,Y,N,4516,1998,West,10277.3,Year,Y,Certified
32574,EZYV7095,Europe,Bachelor's,N,Y,10399,1991,West,18433.25,Year,Y,Certified
32575,EZYV7096,Europe,Master's,Y,N,171,2005,West,86267.3,Year,Y,Certified
32576,EZYV7097,Asia,High School,Y,N,515,2001,West,78014.35,Year,Y,Denied
32577,EZYV7098,Oceania,Master's,Y,N,20644,1997,Midwest,103929.24,Year,Y,Certified
32578,EZYV7099,Asia,Master's,Y,N,135,1994,West,96445.58,Year,Y,Certified
32579,EZYV7100,Asia,Doctorate,Y,N,1783,1991,Northeast,112592.55,Year,Y,Certified
32580,EZYV7101,Asia,High School,N,Y,636,2011,South,120298.68,Year,Y,Denied
32581,EZYV7102,North America,Doctorate,N,N,376,2007,Midwest,69148.49,Year,Y,Certified
32582,EZYV7103,Asia,Bachelor's,N,N,2711,2006,South,113675.84,Year,Y,Certified
32583,EZYV7104,Asia,Bachelor's,Y,N,4761,1986,Northeast,86205.73,Year,Y,Denied
32584,EZYV7105,Asia,Master's,Y,N,639,1934,Island,135252.31,Year,Y,Certified
32585,EZYV7106,Europe,High School,N,N,3174,1931,South,221.784,Hour,Y,Denied
32586,EZYV7107,Asia,Bachelor's,N,N,1049,2008,West,55895.49,Year,Y,Denied
32587,EZYV7108,North America,Doctorate,Y,N,3089,1979,Northeast,505.8025,Hour,Y,Certified
32588,EZYV7109,Asia,Master's,Y,N,2434,2007,Northeast,58313.58,Year,Y,Certified
32589,EZYV7110,Asia,Doctorate,N,N,647,1953,West,121.11,Hour,Y,Certified
32590,EZYV7111,Asia,Master's,N,N,814,2004,Northeast,74811.35,Year,N,Certified
32591,EZYV7112,South America,Bachelor's,Y,N,905,2011,Midwest,77472.14,Year,Y,Certified
32592,EZYV7113,Asia,Bachelor's,N,N,46280,2001,Island,305.6728,Hour,Y,Denied
32593,EZYV7114,Asia,Master's,N,N,1009,1868,South,52162.0,Year,N,Certified
32594,EZYV7115,North America,Bachelor's,Y,N,1684,2013,West,2216.32,Year,Y,Certified
32595,EZYV7116,Asia,Master's,Y,N,2829,1898,Midwest,18887.29,Year,N,Certified
32596,EZYV7117,Asia,Master's,Y,N,2838,1886,Northeast,174313.39,Year,N,Certified
32597,EZYV7118,Asia,Bachelor's,N,N,4862,1949,Northeast,69426.04,Year,Y,Denied
32598,EZYV7119,Asia,Bachelor's,N,N,1614,2007,West,140202.04,Year,Y,Certified
32599,EZYV7120,Asia,Bachelor's,Y,N,2030,2010,West,20169.9,Year,Y,Denied
32600,EZYV7121,Europe,Doctorate,N,N,303,1981,Northeast,113658.69,Year,Y,Certified
32601,EZYV7122,Asia,Master's,N,N,857,2013,South,46047.5,Year,Y,Certified
32602,EZYV7123,Asia,Bachelor's,Y,N,4440,1954,South,113469.04,Year,N,Certified
32603,EZYV7124,North America,Bachelor's,Y,N,2348,2012,Midwest,105831.05,Year,N,Denied
32604,EZYV7125,Asia,Master's,Y,N,4061,1994,Northeast,59194.87,Year,Y,Certified
32605,EZYV7126,Asia,High School,Y,N,795,1998,West,45368.85,Year,Y,Denied
32606,EZYV7127,North America,Master's,Y,N,3421,1919,Northeast,147083.79,Year,Y,Certified
32607,EZYV7128,North America,Master's,Y,N,1349,2013,South,69.6449,Hour,Y,Certified
32608,EZYV7129,Asia,Bachelor's,N,N,625,1949,South,143793.99,Year,Y,Certified
32609,EZYV7130,Asia,Bachelor's,Y,N,3460,1960,West,73095.1,Year,Y,Certified
32610,EZYV7131,Asia,High School,N,N,4132,2005,South,103819.7,Year,Y,Denied
32611,EZYV7132,Asia,Master's,N,N,4200,1976,West,60708.26,Year,N,Certified
32612,EZYV7133,Asia,Bachelor's,N,N,324,1998,South,84376.2,Year,Y,Certified
32613,EZYV7134,Europe,Bachelor's,Y,N,65207,2000,South,6589.72,Year,N,Certified
32614,EZYV7135,Europe,Doctorate,Y,Y,5215,2011,West,95424.13,Year,Y,Certified
32615,EZYV7136,Asia,Doctorate,N,N,4478,2005,Midwest,102284.9,Year,Y,Certified
32616,EZYV7137,North America,High School,Y,Y,1459,1949,Northeast,814.0594,Hour,Y,Certified
32617,EZYV7138,Asia,Master's,Y,N,10273,1987,Midwest,116583.58,Year,Y,Certified
32618,EZYV7139,Asia,Master's,N,N,377,1986,South,115205.07,Year,N,Certified
32619,EZYV7140,North America,Master's,N,N,299,2015,West,118999.78,Year,Y,Denied
32620,EZYV7141,Asia,Master's,Y,Y,1784,1995,Northeast,86942.67,Year,Y,Certified
32621,EZYV7142,Asia,Master's,Y,N,4574,1874,Northeast,59439.65,Year,Y,Certified
32622,EZYV7143,Asia,Bachelor's,N,Y,3586,1997,West,67911.59,Year,Y,Denied
32623,EZYV7144,North America,Master's,N,N,1200,1992,Northeast,100581.34,Year,Y,Denied
32624,EZYV7145,Asia,Master's,Y,N,657,1980,South,112538.43,Year,N,Certified
32625,EZYV7146,Asia,Master's,Y,Y,3531,1998,West,57.9863,Hour,Y,Certified
32626,EZYV7147,Asia,Bachelor's,Y,N,1892,1957,West,238078.87,Year,Y,Certified
32627,EZYV7148,Europe,Master's,Y,N,958,2006,West,108691.93,Year,Y,Certified
32628,EZYV7149,North America,Master's,Y,N,2151,2012,Northeast,102680.8,Year,Y,Certified
32629,EZYV7150,Asia,Bachelor's,N,N,92,1911,South,127288.25,Year,N,Certified
32630,EZYV7151,Asia,Bachelor's,N,N,27484,2008,West,2865.19,Year,Y,Denied
32631,EZYV7152,Asia,Bachelor's,Y,Y,1255,2007,Midwest,143886.02,Year,Y,Certified
32632,EZYV7153,Asia,Bachelor's,N,N,254,1977,West,615.3414,Hour,Y,Denied
32633,EZYV7154,Europe,Master's,Y,N,1458,1960,South,16025.36,Year,Y,Certified
32634,EZYV7155,Asia,Master's,Y,N,2541,2008,Northeast,57638.36,Year,Y,Certified
32635,EZYV7156,Asia,Master's,Y,N,1764,1863,West,132039.98,Year,Y,Certified
32636,EZYV7157,South America,Master's,N,N,695,1997,West,8575.23,Year,Y,Certified
32637,EZYV7158,Asia,Bachelor's,N,N,3218,2006,Northeast,108017.99,Year,Y,Certified
32638,EZYV7159,Asia,Bachelor's,Y,N,86312,2003,West,119987.28,Year,Y,Certified
32639,EZYV7160,Asia,High School,N,N,2839,1998,West,139666.15,Year,Y,Denied
32640,EZYV7161,Asia,Bachelor's,N,Y,818,1998,West,95509.34,Year,Y,Certified
32641,EZYV7162,Asia,Bachelor's,Y,N,130,2011,West,153485.12,Year,Y,Denied
32642,EZYV7163,Asia,Master's,Y,N,673,2005,South,128758.39,Year,Y,Certified
32643,EZYV7164,Asia,Bachelor's,N,N,1909,2004,South,78239.03,Year,Y,Denied
32644,EZYV7165,Asia,Master's,Y,N,647,1953,Midwest,463.3112,Hour,Y,Certified
32645,EZYV7166,Asia,Master's,N,N,4322,2005,West,145074.67,Year,Y,Certified
32646,EZYV7167,Europe,Master's,N,N,5253,1985,West,90522.62,Year,Y,Certified
32647,EZYV7168,Asia,High School,Y,N,1676,2001,South,104652.75,Year,Y,Denied
32648,EZYV7169,Asia,Master's,N,N,1350,1914,South,76214.48,Year,Y,Certified
32649,EZYV7170,Asia,Doctorate,N,N,1758,2004,Northeast,92411.35,Year,Y,Certified
32650,EZYV7171,Asia,Bachelor's,Y,Y,986,2007,South,44126.91,Year,Y,Denied
32651,EZYV7172,North America,Bachelor's,N,N,3511,2010,Northeast,72352.34,Year,Y,Certified
32652,EZYV7173,Asia,Bachelor's,N,Y,2324,1937,Island,93560.12,Year,Y,Certified
32653,EZYV7174,Asia,Master's,Y,N,4192,1946,West,54955.72,Year,Y,Certified
32654,EZYV7175,Asia,Master's,Y,N,3662,2007,Midwest,152011.55,Year,Y,Certified
32655,EZYV7176,Asia,Bachelor's,Y,N,1737,1997,Northeast,65985.9,Year,Y,Certified
32656,EZYV7177,Asia,Bachelor's,N,N,1264,1952,South,523.6527,Hour,Y,Denied
32657,EZYV7178,Europe,Doctorate,Y,N,3614,1947,West,24276.77,Year,Y,Certified
32658,EZYV7179,Asia,Master's,N,N,1520,1987,West,399.4489,Hour,Y,Certified
32659,EZYV7180,Asia,Master's,Y,N,5312,1968,South,24022.87,Year,Y,Certified
32660,EZYV7181,Asia,Master's,Y,N,2332,2005,South,231936.29,Year,Y,Certified
32661,EZYV7182,Asia,Bachelor's,Y,N,984,2003,Northeast,131792.99,Year,Y,Denied
32662,EZYV7183,Asia,Bachelor's,Y,N,2813,2003,West,117109.75,Year,Y,Certified
32663,EZYV7184,Oceania,Master's,N,Y,6159,1988,Midwest,87111.61,Year,Y,Certified
32664,EZYV7185,Asia,Master's,N,N,1217,1909,Midwest,99564.83,Year,Y,Certified
32665,EZYV7186,Asia,Bachelor's,Y,N,623,1893,Midwest,8968.81,Year,Y,Denied
32666,EZYV7187,Asia,Bachelor's,N,N,3086,1986,Northeast,118042.2,Year,Y,Certified
32667,EZYV7188,Asia,Master's,N,N,4148,2010,Midwest,144755.6,Year,Y,Certified
32668,EZYV7189,Asia,Bachelor's,Y,N,2754,1998,South,159772.02,Year,Y,Certified
32669,EZYV7190,North America,Bachelor's,Y,N,6631,1993,West,42608.5,Year,Y,Certified
32670,EZYV7191,Asia,Bachelor's,N,Y,3074,2013,South,63326.99,Year,Y,Certified
32671,EZYV7192,Europe,Master's,Y,N,1439,1979,South,115517.72,Year,N,Certified
32672,EZYV7193,North America,Bachelor's,Y,N,1955,2013,West,28813.97,Month,Y,Certified
32673,EZYV7194,Asia,Bachelor's,Y,N,2327,1999,Midwest,82130.07,Year,Y,Certified
32674,EZYV7195,Asia,High School,N,N,4617,2005,West,64897.03,Year,Y,Denied
32675,EZYV7196,Asia,Bachelor's,Y,N,80,2004,Northeast,30705.85,Year,Y,Denied
32676,EZYV7197,Asia,Master's,Y,N,2253,1988,West,31145.4,Year,N,Certified
32677,EZYV7198,South America,Bachelor's,N,N,1522,1999,Midwest,111290.07,Year,Y,Certified
32678,EZYV7199,Asia,Master's,N,N,2813,1875,South,139660.26,Year,Y,Certified
32679,EZYV7200,North America,Bachelor's,N,Y,155,1982,West,128600.87,Year,Y,Denied
32680,EZYV7201,Asia,Bachelor's,Y,N,4455,2011,Midwest,55841.98,Year,Y,Denied
32681,EZYV7202,North America,Master's,N,N,3425,1999,Midwest,27826.13,Year,Y,Certified
32682,EZYV7203,North America,Bachelor's,Y,N,1670,2008,Northeast,57615.09,Year,Y,Denied
32683,EZYV7204,Asia,Bachelor's,Y,N,2226,1995,West,74848.02,Week,Y,Denied
32684,EZYV7205,Asia,Bachelor's,Y,N,5129,2001,Northeast,167375.09,Year,N,Certified
32685,EZYV7206,Asia,Bachelor's,Y,N,875,2000,West,110675.52,Year,Y,Denied
32686,EZYV7207,Asia,Master's,N,N,15777,1982,Midwest,16027.53,Year,Y,Certified
32687,EZYV7208,Asia,Bachelor's,Y,N,3104,2004,Midwest,106409.82,Year,Y,Certified
32688,EZYV7209,North America,Bachelor's,N,N,4120,1991,Northeast,196282.02,Year,Y,Certified
32689,EZYV7210,South America,Bachelor's,N,N,368,1995,West,174657.07,Year,Y,Certified
32690,EZYV7211,Asia,Bachelor's,Y,N,2841,1999,South,49817.21,Year,Y,Denied
32691,EZYV7212,South America,Master's,Y,N,1032,2006,Northeast,77171.75,Year,Y,Certified
32692,EZYV7213,Asia,Master's,Y,N,15964,2004,Northeast,114194.43,Year,Y,Certified
32693,EZYV7214,Asia,Bachelor's,Y,N,4515,1970,West,20136.52,Year,Y,Certified
32694,EZYV7215,Asia,Bachelor's,Y,N,2201,1996,South,74957.14,Year,Y,Certified
32695,EZYV7216,South America,Master's,N,N,2835,1997,South,680.9274,Hour,Y,Denied
32696,EZYV7217,Asia,Bachelor's,Y,N,3268,2002,West,99514.5,Year,Y,Certified
32697,EZYV7218,Asia,Bachelor's,N,N,777,1998,Midwest,81180.73,Year,Y,Certified
32698,EZYV7219,North America,Master's,N,N,2362,1999,Midwest,10200.79,Year,Y,Certified
32699,EZYV7220,Asia,Bachelor's,Y,N,3830,2003,Northeast,111985.46,Week,Y,Certified
32700,EZYV7221,Asia,Master's,Y,N,1617,1994,Midwest,54033.4,Year,Y,Certified
32701,EZYV7222,Asia,Bachelor's,N,Y,100771,1838,Northeast,187808.28,Year,Y,Certified
32702,EZYV7223,Asia,Bachelor's,N,N,820,1989,South,99942.79,Year,Y,Certified
32703,EZYV7224,Asia,Master's,Y,N,1848,1946,South,38907.13,Year,Y,Certified
32704,EZYV7225,Europe,Doctorate,N,N,-25,1998,Midwest,141435.95,Year,Y,Certified
32705,EZYV7226,Asia,Bachelor's,Y,N,2832,2013,West,22217.77,Year,Y,Certified
32706,EZYV7227,Asia,Bachelor's,Y,N,3129,1920,Midwest,80838.18,Year,Y,Certified
32707,EZYV7228,South America,Doctorate,Y,N,9614,1873,West,30564.5,Year,Y,Certified
32708,EZYV7229,Europe,Bachelor's,N,N,23970,1920,Island,52726.47,Year,Y,Certified
32709,EZYV7230,Europe,High School,Y,N,1461,1988,West,45205.15,Year,Y,Denied
32710,EZYV7231,Asia,High School,N,N,795,1949,Northeast,118802.08,Year,Y,Denied
32711,EZYV7232,Asia,Doctorate,Y,N,269,2003,Midwest,101734.39,Year,Y,Certified
32712,EZYV7233,Asia,Master's,Y,N,5015,2005,West,69739.07,Year,Y,Certified
32713,EZYV7234,Asia,Bachelor's,Y,N,1729,2009,Midwest,132996.89,Year,Y,Certified
32714,EZYV7235,North America,Master's,N,N,997,1912,West,847.4413,Hour,Y,Certified
32715,EZYV7236,Asia,Doctorate,Y,N,1227,2010,West,128008.3,Year,Y,Certified
32716,EZYV7237,Asia,Master's,Y,N,1935,1995,West,17039.44,Year,Y,Certified
32717,EZYV7238,Asia,Master's,N,Y,617,2013,West,78524.33,Year,Y,Certified
32718,EZYV7239,North America,Master's,Y,N,261,2008,Northeast,143129.1,Year,Y,Certified
32719,EZYV7240,Asia,Master's,N,N,161,2006,Midwest,142934.18,Year,N,Certified
32720,EZYV7241,Asia,Master's,N,N,31502,1868,Northeast,51025.89,Year,Y,Certified
32721,EZYV7242,Asia,Doctorate,Y,N,3455,2012,Midwest,90925.92,Year,Y,Certified
32722,EZYV7243,Asia,Master's,Y,N,636,2007,West,95806.22,Year,N,Certified
32723,EZYV7244,South America,Bachelor's,N,N,4943,1976,South,705.3218,Hour,Y,Denied
32724,EZYV7245,North America,Bachelor's,Y,N,3793,1970,West,89894.47,Year,N,Certified
32725,EZYV7246,Asia,Bachelor's,Y,Y,1751,1999,Midwest,72615.17,Year,Y,Denied
32726,EZYV7247,Asia,Bachelor's,Y,N,2961,1985,West,7034.14,Year,Y,Denied
32727,EZYV7248,Asia,Master's,N,N,3891,1838,South,138356.27,Year,N,Certified
32728,EZYV7249,Asia,Doctorate,N,N,4851,1980,South,986.5337,Hour,Y,Certified
32729,EZYV7250,Asia,Bachelor's,Y,N,1152,1999,Midwest,120461.99,Year,Y,Certified
32730,EZYV7251,Asia,Master's,Y,N,2555,1999,Northeast,72873.89,Year,Y,Certified
32731,EZYV7252,Asia,Bachelor's,N,N,25094,1911,South,53961.43,Year,Y,Certified
32732,EZYV7253,Europe,Bachelor's,Y,N,2069,2011,South,127892.96,Year,Y,Certified
